DATE,NEW_CASES
2022-04-02,0
2022-04-09,0
2022-04-16,0
2022-04-23,0
2022-04-30,0
2022-05-07,0
2022-05-14,0
2022-05-21,0
2022-05-28,0
2022-06-04,2
2022-06-11,7
2022-06-18,17
2022-06-25,18
2022-07-02,28
2022-07-09,50
2022-07-16,97
2022-07-23,126
2022-07-30,143
2022-08-06,141
2022-08-13,110
2022-08-20,79
2022-08-27,52
2022-09-03,46
2022-09-10,48
2022-09-17,47
2022-09-24,24
2022-10-01,15
2022-10-08,13
2022-10-15,4
2022-10-22,10
2022-10-29,14
2022-11-05,6
2022-11-12,4
2022-11-19,4
2022-11-26,4
2022-12-03,1
2022-12-10,0
2022-12-17,2
2022-12-24,3
2022-12-31,2
2023-01-07,0
2023-01-14,2
2023-01-21,1
2023-01-28,2
2023-02-04,0
2023-02-11,0
2023-02-18,0
2023-02-25,0
2023-03-04,0
2023-03-11,0
2023-03-18,1
2023-03-25,0
2023-04-01,0
2023-04-08,0
2023-04-15,0
2023-04-22,2
2023-04-29,7
2023-05-06,6
2023-05-13,8
2023-05-20,7
2023-05-27,1
2023-06-03,6
2023-06-10,2
2023-06-17,5
2023-06-24,2
2023-07-01,2
2023-07-08,5
2023-07-15,5
2023-07-22,3
2023-07-29,4
2023-08-05,2
2023-08-12,1
2023-08-19,3
2023-08-26,3
2023-09-02,4
2023-09-09,2
2023-09-16,1
2023-09-23,2
2023-09-30,1
2023-10-07,2
2023-10-14,4
2023-10-21,2
2023-10-28,2
2023-11-04,3
2023-11-11,5
2023-11-18,1
2023-11-25,3
2023-12-02,0
2023-12-09,1
2023-12-16,0
2023-12-23,2
2023-12-30,3
2024-01-06,1
2024-01-13,1
2024-01-20,5
2024-01-27,6
2024-02-03,5
2024-02-10,9
2024-02-17,2
2024-02-24,4
2024-03-02,4
2024-03-09,6
2024-03-16,8
2024-03-23,2
2024-03-30,2
2024-04-06,1
2024-04-13,2
2024-04-20,0
2024-04-27,1
2024-05-04,0
2024-05-11,0