date,admin_dose1_daily,admin_dose2_daily
5/1/22,0,0
5/2/22,0,0
5/3/22,0,0
5/4/22,0,0
5/5/22,0,0
5/6/22,0,0
5/7/22,0,0
5/8/22,0,0
5/9/22,0,0
5/10/22,0,0
5/11/22,0,0
5/12/22,0,0
5/13/22,0,0
5/14/22,0,0
5/15/22,0,0
5/16/22,0,0
5/17/22,0,0
5/18/22,0,0
5/19/22,0,0
5/20/22,0,0
5/21/22,0,0
5/22/22,0,0
5/23/22,0,0
5/24/22,0,0
5/25/22,2,0
5/26/22,3,0
5/27/22,0,0
5/28/22,0,0
5/29/22,0,0
5/30/22,0,0
5/31/22,0,0
6/1/22,8,0
6/2/22,2,0
6/3/22,3,0
6/4/22,2,0
6/5/22,0,0
6/6/22,3,1
6/7/22,1,0
6/8/22,0,0
6/9/22,2,0
6/10/22,2,0
6/11/22,2,0
6/12/22,0,0
6/13/22,1,0
6/14/22,0,0
6/15/22,1,0
6/16/22,3,0
6/17/22,7,0
6/18/22,6,0
6/19/22,0,0
6/20/22,0,0
6/21/22,2,0
6/22/22,7,3
6/23/22,291,1
6/24/22,186,2
6/25/22,7,0
6/26/22,147,0
6/27/22,172,2
6/28/22,66,0
6/29/22,7,0
6/30/22,56,2
7/1/22,15,2
7/2/22,10,1
7/3/22,0,0
7/4/22,1,0
7/5/22,12,1
7/6/22,15,0
7/7/22,683,2
7/8/22,550,3
7/9/22,310,2
7/10/22,307,0
7/11/22,100,1
7/12/22,529,2
7/13/22,456,3
7/14/22,597,5
7/15/22,736,4
7/16/22,374,8
7/17/22,4013,4
7/18/22,528,4
7/19/22,623,6
7/20/22,629,7
7/21/22,741,14
7/22/22,858,20
7/23/22,501,2
7/24/22,3791,2
7/25/22,649,11
7/26/22,822,13
7/27/22,695,14
7/28/22,807,10
7/29/22,925,18
7/30/22,4206,16
7/31/22,3886,3
8/1/22,983,9
8/2/22,1103,12
8/3/22,1068,22
8/4/22,1041,14
8/5/22,2112,24
8/6/22,5810,37
8/7/22,5459,21
8/8/22,1038,22
8/9/22,1244,24
8/10/22,1591,75
8/11/22,3149,78
8/12/22,3019,52
8/13/22,4913,92
8/14/22,4403,36
8/15/22,1619,137
8/16/22,1318,56
8/17/22,1284,105
8/18/22,2132,80
8/19/22,1632,134
8/20/22,53,95
8/21/22,959,57
8/22/22,1153,170
8/23/22,467,99
8/24/22,138,136
8/25/22,1285,90
8/26/22,1467,155
8/27/22,1078,25
8/28/22,978,8
8/29/22,602,217
8/30/22,616,86
8/31/22,604,197
9/1/22,1182,121
9/2/22,1260,134
9/3/22,894,27
9/4/22,370,74
9/5/22,1,4
9/6/22,340,143
9/7/22,392,144
9/8/22,670,178
9/9/22,754,920
9/10/22,544,1122
9/11/22,231,827
9/12/22,271,497
9/13/22,304,412
9/14/22,272,456
9/15/22,512,710
9/16/22,511,2018
9/17/22,379,2579
9/18/22,174,2295
9/19/22,320,2468
9/20/22,356,2250
9/21/22,303,2090
9/22/22,268,2018
9/23/22,323,2231
9/24/22,148,1443
9/25/22,224,1343
9/26/22,314,1657
9/27/22,283,1560
9/28/22,289,1359
9/29/22,254,1301
9/30/22,246,1441
10/1/22,133,1031
10/2/22,115,859
10/3/22,186,991
10/4/22,203,814
10/5/22,228,982
10/6/22,204,1055
10/7/22,188,428
10/8/22,113,338
10/9/22,124,253
10/10/22,46,37
10/11/22,234,505
10/12/22,206,394
10/13/22,152,373
10/14/22,188,440
10/15/22,131,303
10/16/22,101,206
10/17/22,138,308
10/18/22,118,286
10/19/22,110,277
10/20/22,120,206
10/21/22,161,301
10/22/22,79,173
10/23/22,68,137
10/24/22,124,219
10/25/22,113,220
10/26/22,138,245
10/27/22,161,341
10/28/22,52,76
10/29/22,28,65
10/30/22,41,101
10/31/22,90,156
11/1/22,84,169
11/2/22,37,72
11/3/22,36,79
11/4/22,119,204
11/5/22,49,92
11/6/22,37,73
11/7/22,72,143
11/8/22,23,41
11/9/22,95,330
11/10/22,84,246
11/11/22,28,54
11/12/22,50,180
11/13/22,49,108
11/14/22,72,181
11/15/22,79,195
11/16/22,61,68
11/17/22,34,47
11/18/22,56,101
11/19/22,10,12
11/20/22,5,10
11/21/22,34,72
11/22/22,56,61
11/23/22,39,60
11/24/22,0,3
11/25/22,23,19
11/26/22,4,5
11/27/22,6,9
11/28/22,46,62
11/29/22,44,58
11/30/22,43,81
12/1/22,32,59
12/2/22,49,72
12/3/22,7,7
12/4/22,6,3
12/5/22,32,58
12/6/22,35,39
12/7/22,22,63
12/8/22,25,55
12/9/22,24,55
12/10/22,2,7
12/11/22,5,8
12/12/22,39,47
12/13/22,28,49
12/14/22,31,73
12/15/22,19,44
12/16/22,25,51
12/17/22,2,2
12/18/22,7,8
12/19/22,43,50
12/20/22,29,42
12/21/22,40,61
12/22/22,16,34
12/23/22,19,21
12/24/22,1,0
12/25/22,0,0
12/26/22,1,3
12/27/22,42,42
12/28/22,23,30
12/29/22,32,30
12/30/22,12,30
12/31/22,2,0
1/1/23,,
1/2/23,,
1/3/23,,
1/4/23,,
1/5/23,,
1/6/23,,
1/7/23,,
1/8/23,,
1/9/23,,
1/10/23,,
1/11/23,,
1/12/23,,
1/13/23,,
1/14/23,,
1/15/23,,
1/16/23,,
1/17/23,,
1/18/23,,
1/19/23,,
1/20/23,,
1/21/23,,
1/22/23,,
1/23/23,,
1/24/23,,
1/25/23,,
1/26/23,,
1/27/23,,
1/28/23,,
1/29/23,,
1/30/23,,
1/31/23,,
2/1/23,,
2/2/23,,
2/3/23,,
2/4/23,,
2/5/23,,
2/6/23,,
2/7/23,,
2/8/23,,
2/9/23,,
2/10/23,,
2/11/23,,
2/12/23,,
2/13/23,,
2/14/23,,
2/15/23,,
2/16/23,,
2/17/23,,
2/18/23,,
2/19/23,,
2/20/23,,
2/21/23,,
2/22/23,,
2/23/23,,
2/24/23,,
2/25/23,,
2/26/23,,
2/27/23,,
2/28/23,,
3/1/23,,
3/2/23,,
3/3/23,,
3/4/23,,
3/5/23,,
3/6/23,,
3/7/23,,
3/8/23,,
3/9/23,,
3/10/23,,
3/11/23,,
3/12/23,,
3/13/23,,
3/14/23,,
3/15/23,,
3/16/23,,
3/17/23,,
3/18/23,,
3/19/23,,
3/20/23,,
3/21/23,,
3/22/23,,
3/23/23,,
3/24/23,,
3/25/23,,
3/26/23,,
3/27/23,,
3/28/23,,
3/29/23,,
3/30/23,,
3/31/23,,
4/1/23,,
4/2/23,,
4/3/23,,
4/4/23,,
4/5/23,,
4/6/23,,
4/7/23,,
4/8/23,,
4/9/23,,
4/10/23,,
4/11/23,,
4/12/23,,
4/13/23,,
4/14/23,,
4/15/23,,
4/16/23,,
4/17/23,,
4/18/23,,
4/19/23,,
4/20/23,,
4/21/23,,
4/22/23,,
4/23/23,,
4/24/23,,
4/25/23,,
4/26/23,,
4/27/23,,
4/28/23,,
4/29/23,,
4/30/23,,
5/1/23,,
5/2/23,,
5/3/23,,
5/4/23,,
5/5/23,,
5/6/23,,
5/7/23,,
5/8/23,,
5/9/23,,
5/10/23,,
5/11/23,,
5/12/23,,
5/13/23,,
5/14/23,,
5/15/23,,
5/16/23,,
5/17/23,,
5/18/23,,
5/19/23,,
5/20/23,,
5/21/23,,
5/22/23,,
5/23/23,,
5/24/23,,
5/25/23,,
5/26/23,,
5/27/23,,
5/28/23,,
5/29/23,,
5/30/23,,
5/31/23,,
6/1/23,,
6/2/23,,
6/3/23,,
6/4/23,,
6/5/23,,
6/6/23,,
6/7/23,,
6/8/23,,
6/9/23,,
6/10/23,,
6/11/23,,
6/12/23,,
6/13/23,,
6/14/23,,
6/15/23,,
6/16/23,,
6/17/23,,
6/18/23,,
6/19/23,,
6/20/23,,
6/21/23,,
6/22/23,,
6/23/23,,
6/24/23,,
6/25/23,,
6/26/23,,
6/27/23,,
6/28/23,,
6/29/23,,
6/30/23,,
7/1/23,,
7/2/23,,
7/3/23,,
7/4/23,,
7/5/23,,
7/6/23,,
7/7/23,,
7/8/23,,
7/9/23,,
7/10/23,,
7/11/23,,
7/12/23,,
7/13/23,,
7/14/23,,
7/15/23,,
7/16/23,,
7/17/23,,
7/18/23,,
7/19/23,,
7/20/23,,
7/21/23,,
7/22/23,,
7/23/23,,
7/24/23,,
7/25/23,,
7/26/23,,
7/27/23,,
7/28/23,,
7/29/23,,
7/30/23,,
7/31/23,,
8/1/23,,